instruction,fpm_source,mem_integer,mem_single,mem_double,mem_extended,mem_packed
FABS,35.0,62.0,54.0,60.0,58.0,872.0
FACOS,652.0,625.0,644.0,650.0,648.0,1462.0
FADD,51.0,80.0,72.0,78.0,76.0,888.0
FASIN,581.0,608.0,600.0,606.0,604.0,1418.0
FATAN,403.0,430.0,422.0,428.0,426.0,1240.0
FATANH,693.0,720.0,712.0,718.0,716.0,1530.0
FCMP,33.0,62.0,54.0,60.0,58.0,870.0
FCOS,391.0,418.0,410.0,416.0,414.0,1228.0
FCOSH,607.0,634.0,626.0,632.0,630.0,1444.0
FDIV,103.0,132.0,124.0,130.0,128.0,940.0
FETOX,497.0,524.0,516.0,522.0,520.0,1334.0
FETOXM1,545.0,572.0,564.0,570.0,568.0,1382.0
FGETEXP,45.0,72.0,64.0,70.0,68.0,882.0
FGETMAN,31.0,58.0,50.0,56.0,54.0,868.0
FINT,55.0,82.0,78.0,80.0,78.0,892.0
FINTRZ,55.0,82.0,78.0,80.0,74.0,892.0
FLOGN,525.0,552.0,544.0,550.0,548.0,1362.0
FLOGNP1,571.0,598.0,590.0,596.0,594.0,1408.0
FLOG10,581.0,608.0,600.0,606.0,604.0,1418.0
FLOG2,581.0,608.0,600.0,606.0,604.0,1418.0
FMOD,67.0,94.0,86.0,92.0,90.0,902.0
FMOVE to FPn,33.0,60.0,52.0,58.0,56.0,870.0
FMOVE to MEMORY***,,100.0,80.0,86.0,72.0,1996.0
FMOVECR****,29.0,,,,,
FMUL,71.0,100.0,92.0,98.0,96.0,908.0
FNEG,35.0,62.0,54.0,60.0,58.0,872.0
FREM,67.0,94.0,86.0,92.0,90.0,902.0
FSCALE,41.0,70.0,62.0,68.0,66.0,878.0
FSGLDIV,69.0,98.0,90.0,96.0,94.0,906.0
FSGLMUL,59.0,88.0,80.0,86.0,84.0,896.0
FSIN,391.0,418.0,410.0,416.0,414.0,1228.0
FSINCOS,451.0,478.0,470.0,476.0,474.0,1288.0
FSINH,687.0,714.0,706.0,712.0,710.0,1524.0
FSQRT,107.0,134.0,126.0,132.0,130.0,944.0
FSUB,51.0,80.0,72.0,78.0,76.0,888.0
FTAN,473.0,500.0,492.0,498.0,496.0,1310.0
FTANH,661.0,688.0,680.0,686.0,684.0,1498.0
FTENTOX,567.0,594.0,586.0,592.0,590.0,1404.0
FTST,33.0,60.0,52.0,58.0,56.0,870.0
FTWOTOX,567.0,594.0,586.0,592.0,590.0,1404.0
